Index,Question,Prediction,Eval,Solution
1344,2 3 8 13,(13 - 8) * (3 - 2) = 24,False,( 13 + 3 ) * 2 - 8 = 24
1027,1 5 7 9,(5 * 9) - 7 - 1 = 24,False,( 1 - 7 ) * ( 5 - 9 ) = 24
871,3 3 7 9,(9 - 3) * (7 - 3) = 24,True,3 + 7 / 3 * 9 = 24
431,1 3 10 12,(12 / (10 - 3)) * 1 = 24,False,10 - 1 + 12 + 3 = 24
239,4 4 5 6,(5 - 4) * (4 + 6) = 24,False,4 * ( 5 - 4 ) * 6 = 24
815,3 3 6 11,(11 - 3) * (6 / 3) = 24,False,11 * 3 - ( 3 + 6 ) = 24
233,1 4 4 5,(5 * 4) - (4 / 1) = 24,False,1 * 4 + 4 * 5 = 24
119,2 8 9 9,(8 - 2) * (9 - 9) = 24,False,( 2 + 9 / 9 ) * 8 = 24
966,3 3 4 11,(11 - 4) * 3 - 3 = 24,False,11 + 3 * 3 + 4 = 24
3,1 1 1 8,(8 - 1) * (1 + 1),False,( 1 + 1 + 1 ) * 8 = 24
1125,2 4 9 10,(9 - 4) * 2 + 10 = 24,False,10 + 2 * 9 - 4 = 24
1134,1 3 5 6,(5 * 6) - (3 - 1) = 24,False,1 + 3 * 6 + 5 = 24
1070,4 6 9 13,(13 - 9) * (6 / 4) = 24,False,13 - 4 + 6 + 9 = 24
643,1 5 9 10,(10 - 5) * (9 - 1),False,1 * 10 + 5 + 9 = 24
564,1 4 10 11,(11 - 4) * 10 / 1,False,10 - 1 + 11 + 4 = 24
79,1 8 9 12,(9 - 1) * (12 - 8) = 24,False,( 1 * 12 - 9 ) * 8 = 24
1002,2 4 6 8,(8 - 6) * (4 + 2),False,2 / 4 * 6 * 8 = 24
587,3 6 6 9,(9 - 6) * (6 / 3) = 24,False,3 + 6 + 6 + 9 = 24
5,1 1 2 12,(12 / (1 + 1)) * 2,False,1 - 1 + 12 * 2 = 24
1345,7 8 10 11,(10 * 11) - (7 + 8) = 24,False,( 10 + 11 ) / 7 * 8 = 24
509,5 5 10 11,(11 - 5) * (10 / 5) = 24,False,10 - 11 + 5 * 5 = 24
698,2 3 3 7,(7 - 3) * (3 + 2),False,2 * 3 * ( 7 - 3 ) = 24
326,6 7 12 13,(13 - 7) * (12 / 6) = 24,False,12 + 13 + 6 - 7 = 24
327,1 2 5 5,(5 * 5) - 2 - 1 = 24,False,1 - 2 + 5 * 5 = 24
120,6 6 12 12,(12 / (12 / 6)) * 6 = 24,False,12 + 12 + 6 - 6 = 24
875,5 6 9 12,(12 / (9 - 6)) * 5 = 24,False,12 * ( 5 + 6 - 9 ) = 24
950,1 2 2 9,(9 - 2) * 2 + 1,False,( 1 + 2 + 9 ) * 2 = 24
985,5 9 12 12,(12 / (12 - 9)) * 5 = 24,False,( 12 + 12 * 9 ) / 5 = 24
1096,4 4 5 12,(12 - 4) * (5 - 4) = 24,False,( 12 - 5 ) * 4 - 4 = 24
409,4 4 4 12,(4 * 4) + (4 - 12) = 24,False,12 + 4 + 4 + 4 = 24
429,8 10 11 11,(11 - 10) * 11 - 8 = 24,False,10 + 11 + 11 - 8 = 24
677,3 4 5 10,(10 - 5) * (4 - 3) = 24,False,10 * 3 * 4 / 5 = 24
984,2 6 7 11,(11 - 7) * 6 / 2,False,( 11 - 6 + 7 ) * 2 = 24
383,8 9 12 13,(13 - 9) * 12 / 8 = 24,False,12 + 13 + 8 - 9 = 24
1268,1 7 12 13,(13 - 7) * (12 - 1) = 24,False,( 1 + 13 ) * 12 / 7 = 24
1318,4 7 11 13,(13 - 11) * (7 - 4) = 24,False,11 * 4 - ( 13 + 7 ) = 24
477,1 6 8 13,(13 - 6) * (8 / 1),False,( 1 - 13 ) * ( 6 - 8 ) = 24
1326,6 11 12 12,(12 / (12 - 11)) * 6 = 24,False,( 11 * 12 + 12 ) / 6 = 24
1230,1 3 8 11,(8 * 3) - 11 + 1 = 24,False,11 * 3 - ( 1 + 8 ) = 24
1262,8 9 11 11,(11 - 8) * (11 - 9) = 24,False,11 * ( 11 - 8 ) - 9 = 24
649,2 4 8 12,(12 / (8 - 4)) * 2 = 24,False,( 12 + 2 - 8 ) * 4 = 24
1122,3 3 9 11,(11 - 3) * (9 - 3) = 24,False,( 11 - 3 ) / 3 * 9 = 24
390,3 6 6 12,(12 / (6 - 3)) * 6,True,12 + 3 * 6 - 6 = 24
955,7 8 8 12,(7 - 8/8) * 12,False,( 7 - 12 + 8 ) * 8 = 24
1208,8 10 12 13,(10 - 8) * 13 - 12 = 24,False,10 * 12 / ( 13 - 8 ) = 24
266,4 4 4 4,(4 * 4) + (4 * 4),False,4 + 4 + 4 * 4 = 24
1164,5 5 5 12,(5 + 5) * (5 - 12) = 24,False,12 * ( 5 + 5 ) / 5 = 24
1102,2 3 5 10,(10 * 2) - (5 + 3) = 24,False,( 10 + 2 ) * ( 5 - 3 ) = 24
967,2 5 7 7,(7 -(5-2)) * 7,False,2 * 5 + 7 + 7 = 24
1217,2 7 10 12,(12 * 2) - (10 + 7) = 24,False,10 * 12 / ( 7 - 2 ) = 24
742,2 2 8 10,(10 - 8) * 2 * 2 = 24,False,10 - 2 + 2 * 8 = 24
856,3 3 5 9,(9 - 3) * 3 - 5 = 24,False,( 3 + 3 ) * ( 9 - 5 ) = 24
312,1 2 10 13,(13 - 10) * (2 + 1) = 24,False,10 - 1 + 13 + 2 = 24
712,6 6 8 11,(11 - 8) * 6 / 6 = 24,False,( 11 - 8 ) * 6 + 6 = 24
869,6 6 8 8,(6 / (1 - (8 / 8))) * 6,False,6 / ( 8 - 6 ) * 8 = 24
863,1 5 5 11,(11 - (5 - 1)) * 5 = 24,False,( 1 - 5 ) * ( 5 - 11 ) = 24
1185,2 6 10 11,(11 - 10) * 6 / 2 = 24,False,10 + 11 + 6 / 2 = 24
166,2 8 10 10,(10 - 8) * (10 / 2) = 24,False,( 10 / 10 + 2 ) * 8 = 24
925,7 9 9 13,(13 - 7) * (9 - 9) = 24,False,13 - 7 + 9 + 9 = 24
455,3 7 11 12,(12 - 11) * 7 * 3 = 24,False,( 11 + 3 ) * 12 / 7 = 24
1192,6 6 9 10,(10 - 6) * (9 - 6) = 24,False,( 10 + 6 ) / 6 * 9 = 24
760,4 4 8 10,(10 - 8) * 4 + 4 = 24,False,( 10 + 4 - 8 ) * 4 = 24
1101,5 7 10 10,(10 * 10) / (7 - 5) = 24,False,10 + 10 / 5 * 7 = 24
1123,5 7 9 11,(11 - 9) * 7 - 5 = 24,False,( 11 - 9 ) * ( 5 + 7 ) = 24
794,3 5 6 7,(7 - 5) * 6 / 3 = 24,False,3 * ( 6 - 5 + 7 ) = 24
465,2 6 7 9,(9 - 6) * 7 - 2 = 24,False,2 + 6 + 7 + 9 = 24
252,2 8 11 11,(11 - 11) * 2 + 8 = 24,False,( 11 / 11 + 2 ) * 8 = 24
377,1 11 12 12,(12 / (12 - 11)) * 1 = 24,False,( 1 - 11 + 12 ) * 12 = 24
964,1 7 10 13,(13 - 10) * 7 - 1 = 24,False,( 1 + 7 ) * ( 13 - 10 ) = 24
66,3 8 9 9,(9 - 3) * 9 / 8,False,3 * 8 + 9 - 9 = 24
960,2 6 8 13,(8 - 6) * 13 / 2 = 24,False,13 * 2 + 6 - 8 = 24
352,4 7 13 13,(13 - 7) * (13 - 4) = 24,False,4 * ( 7 - 13 / 13 ) = 24
