Index,Question,Prediction,Answer,Eval,Manual Eval
19952,What are the professions of Peter Wippermann ?,Researcher,"university teacher, writer",FALSE,TRUE
14475,What is the gene that encodes exonuclease RexA    SSA_1451 ?,ssDNA,exonuclease RexA    SSA_1451,FALSE,TRUE
17555,What represents the molecular function of 4-hydroxy-3-methylbut-2-enyl diphosphate reductase    Moth_1329 ?,Reduction,metal ion binding,FALSE,FALSE
27554,Which administrative territory was Mark Elliott born at ?,Britain,Rhondda,FALSE,TRUE
24830,Which parts are components of Nuclear receptor DAX1 ?,Proteins,"cytoplasm, nucleus",FALSE,FALSE
584,Which administrative territory is Val-Fouzon a part of ?,France,France,TRUE,TRUE
15828,Which nucleic acid sequence encodes V-type ATP synthase subunit F    TTHA1274 ?,DNA,V-type ATP synthase subunit F    TTHA1274,FALSE,FALSE
26893,Where did Dmitriy Odinets expire ?,Unknown,Kazan,FALSE,FALSE
13826,What the name that Emmeline B. Wells is known by ?,Suffragist,Emmeline,FALSE,TRUE
9362,Which drugs show a significant interaction with Atazanavir ?,antiretrovirals,"omeprazole, carbamazepine, bosentan",FALSE,FALSE
23923,Which administrative territory is the place of death of Karl Gerhard Steck ?,Sweden,Bad Homburg vor der Höhe,FALSE,FALSE
13383,Which sex does Jacques Jouve belong to ?,Male,male,TRUE,TRUE
9033,"Which metabolic process is Serine hydroxymethyltransferase, cytosolic involved in ?",Metabolism,one-carbon metabolic process,FALSE,TRUE
26631,What are the job of Carlos Escudero ?,Engineer,"association football manager, association football player",FALSE,FALSE
26938,What do Konstantin Batygin do for a living ?,scientist,"planetary scientist, astronomer",FALSE,TRUE
17383,Which occupations were the positions occupied by Louis Monjaret de Kerjégu ?,Navy officer,"maire, member of the French National Assembly",FALSE,FALSE
10300,Who directed Rabat ?,Directed,Jim Taihuttu,FALSE,FALSE
18680,Which occupation is the profession of Colin Cooper ?,Coach,association football player,FALSE,TRUE
14884,Which European Championship did Walter De Greef participate in ?,1972,UEFA Euro 1984,FALSE,FALSE
16268,Who are the heads of the government of Frankfurt (Oder) ?,officials,"Hans Albrecht, Günter Springer, Britta Stark",FALSE,FALSE
6977,What is the sex of Friedrich Bran ?,Male,male,TRUE,TRUE
15735,Which sex does Oswald Balzer possess ?,unknown,male,FALSE,FALSE
5368,What can be considered as category for Loung Ung ?,Author,non-fiction literature,FALSE,TRUE
7836,What does Eduardo Pucheta do for a living ?,Music.,association football player,FALSE,FALSE
26746,Which European Championship did Vasilis Konstantinou compete in ?,2004,UEFA Euro 1980,FALSE,FALSE
26317,Which nonprofit organization is the workplace of Jack Barchas ?,Research,Cornell University,FALSE,FALSE
15990,What can be considered as category for Rain Fall ?,Weather,action film,FALSE,FALSE
26291,Which administrative territory is namesake of place de Costa-Rica ?,France,Costa Rica,FALSE,FALSE
12571,Which occupations are the professions of Lorenzo Loris ?,Racers,"theatre director, actor, writer",FALSE,FALSE
328,What were the positions for which Thomas J. Herbert were appointed ?,positions,"Governor of Ohio, Ohio Attorney General",FALSE,FALSE
13785,Which material is used to make Philibert Delorme ?,Stone,stone,TRUE,TRUE
13025,Which person was the doctoral superviser of Edward B. Titchener ?,Wundt,Wilhelm Wundt,FALSE,TRUE
11923,Which gene encodes Stathmin-3 ?,STMN3,STMN3,TRUE,TRUE
9772,Which political organization is Karl Mayer a member of ?,Fictional,German People's Party,FALSE,FALSE
14513,What represents the molecular function of E3 ubiquitin-protein ligase TRIM4 ?,Ubiquitination,"zinc ion binding, metal ion binding",FALSE,FALSE
10447,Which streets are bordered by rue de Presbourg ?,Paris,"avenue des Champs-Élysées, avenue Foch, avenue Victor-Hugo",FALSE,FALSE
15641,Which human settlement is the place of birth of Matilde Ortiz ?,Madrid,Veracruz,FALSE,FALSE
2890,What was the main subject in the work Panzer General ?,War,World War II,FALSE,TRUE
8303,Which urban unit definition is known as the capital of Boxholm Municipality ?,City,Boxholm,FALSE,TRUE
17098,Who is an offspring of Ludvig Müller ?,Child,Peter Erasmus Müller,FALSE,FALSE
11072,Which is the part that is a component of sensor histidine kinase    ECL_02242 ?,Histidine,membrane,FALSE,FALSE
