Index,Question,Prediction,Answer,Eval
1600,"Bring a mat for outdoor concerts.
0.Lay down a bed sheet.
1.Lay down a newspaper sheet.
",0. Lay down a bed sheet.,0,True
758,"To keep necklaces from getting tangled when traveling.
0.Loop the necklaces through a straw and close the clasp so they won't get tangled.
1.Loop the necklaces through an earring and close the clasp so they won't get tangled.
",0. Loop the necklaces through a straw and close the clasp so they won't get tangled.,0,True
1324,"To ensure you put the caps on the keyboard back in the right places after dissembling them.
0.Take a picture of the intact keyboard.
1.Memorize the intact keyboard.
",0. Take a picture of the intact keyboard.,0,True
185,"How do you prepare fresh chicken eggs?
0.Use warm water, not cold water. Warm water can cause the contents of the egg to expand against the shell, helping to prevent bacteria to enter through the shell. No need to use harsh soap, bleach, or vinegar…warm water is sufficient.
1.Use warm water, not cold water. Warm water can cause the contents of the egg to expand against the shell, helping to prevent bacteria to enter through the shell. No need to use harsh soap, bleach, or vinegar…cold water is sufficient.
",0.,0,True
620,"how do you scavenge for something?
0.you look for it in one place
1.you look everwhere for it
",1. you look everywhere for it,1,True
493,"watering can
0.carry  children to the store
1.carry  coins to the store
",1,1,True
168,"how to make smoky pretzel mix
0.Mix Melt 1/2 stick butter with 3 tablespoons brown sugar, 1 teaspoon smoked apple and cherry wood chips and 1/4 teaspoon cayenne. Toss with 3 cups mini pretzels and 2 cups mixed nuts. Spread on a baking sheet and bake 20 minutes at 325 degrees F, stirring.
1.Mix Melt 1/2 stick butter with 3 tablespoons brown sugar, 1 teaspoon smoked paprika and 1/4 teaspoon cayenne. Toss with 3 cups mini pretzels and 2 cups mixed nuts. Spread on a baking sheet and bake 20 minutes at 325 degrees F, stirring.
","1. Mix Melt 1/2 stick butter with 3 tablespoons brown sugar, 1 teaspoon smoked paprika and 1/4 teaspoon cayenne. Toss with 3 cups mini pretzels and 2 cups mixed nuts. Spread on a baking sheet and bake 20 minutes at 325 degrees F, stirring.",1,True
1450,"How do I decorate a green paper Christmas tree cone?
0.These paper green cone trees look especially nice with the addition of ribbon, glitter and beads glued on in a random fashion, use a glue gun to affix a metallic bow to the top.
1.These paper green cone trees look especially nice with the addition of ribbon, glitter and bugs glued on in a random fashion, use a glue gun to affix a metallic bow to the top.
",0,0,True
1146,"How would you sew together the separate panels of fabric to make a doctor who 4th doctor look-alike scarf?
0.Place two pieces of fabric back-to-back  together and place the edges on the sewing plate of your sewing machine, lower the foot, and press the foot press with your foot until you have completed the Stitch across the fabric in a zig-zag stitch.
1.Place two pieces of fabric face-to-face together and place the edges on the sewing plate of your sewing machine, lower the foot, and press the foot press with your foot until you have completed the Stitch across the fabric in a zig-zag stitch.
","1. Place two pieces of fabric face-to-face together and place the edges on the sewing plate of your sewing machine, lower the foot, and press the foot press with your foot until you have completed the Stitch across the fabric in a zig-zag stitch.",1,True
987,"How can i make my own ranch seasoning?
0.1 tbsp parsley    1 tbsp chives    1 tbsp dill weed    2 tsp garlic powder    2 tsp onion flakes    2 tsp onion powder    1 tsp sea salt    1/2 tsp ground pepper
1.1 tbsp parsley    1 tbsp chives    1 tbsp dill weed    2 tsp garlic powder    2 tsp onion flakes    2 tsp onion powder    1 tsp sea salt    1/2 tsp ground pepper    1 cup ranch dreessing
",0,0,True
1304,"Make DIY lash growth oil
0.Combine a tablespoon of coconut oil with one drop of lemon essential oil and one drop of lavender oil. Apply the mixture to your lash line each night with a Q-tip and dab away any excess moisture with a tissue.
1.Combine a tablespoon of coconut oil with one drop of lemon essential oil and one drop of lavender oil. Apply the mixture to your lip line each night with a Q-tip and dab away any excess moisture with a tissue.
",0,0,True
1064,"How much salt should be added to a brine for smoking food?
0.Add 2 cups of salt for every 1/2 quart of water.
1.Add 1/2 cup of salt for every 2 quarts of water.
",1. Add 1/2 cup of salt for every 2 quarts of water.,1,True
303,"Establish a health history for new puppy.
0.Take to the vet right away.
1.Take to the vet after a few months.
",0. Take to the vet right away.,0,True
1461,"how to find the lateral surface area of a triangle
0.Image result for how to figure lateral surface area of a triangle    To find the lateral surface area of a pyramid, you can find the area of each triangle, A = 1/2bh or A = 1/2lw, then multiply by the number of triangles, which would be based on the number of sides of the base; or you can take half the perimeter and multiply by the slant height.
1.Image result for how to figure lateral surface area of a triangle    To find the lateral surface area of a pyramid, you can find the area of each triangle, A = 1/2bh or A = 1/2lw, then multiply by the number of triangles, which would be based on the number of sides of the base; or you can take half the perimeter and multiply by the slant height then multiply again by number of triangles
",1,0,False
228,"Hold a cheap ring.
0.Cut a section of egg carton.
1.Cut a section of egg yolk.
",0. Cut a section of egg carton.,0,True
1579,"How to make Skor Bar Ice Cream at home.
0.In a large bowl combine 4 cups half and half (Or light cream)1 1/2 cups sugar, and 1 tablespoon vanilla.  Stir until sugar dissolves.  Stir in 2 cups whipping cream. Chill in refrigerator for 1 hour.  Add 4 cups diced Skor Candy Bars.  Freeze in 4 or 5 quart Ice cream freezer according to manufacturers directions.  Top with melted Caramel.
1.In a large Colander  combine 4 cups half and half (Or light cream)1 1/2 cups sugar, and 1 tablespoon vanilla.  Stir until sugar dissolves.  Stir in 2 cups whipping cream. Chill in refrigerator for 1 hour.  Add 4 cups diced Skor Candy Bars.  Freeze in 4 or 5 quart Ice cream freezer according to manufacturers directions.  Top with melted Caramel.
","The correct answer is:
0. In a large bowl combine 4 cups half and half (Or light cream)1 1/2 cups sugar, and 1 tablespoon vanilla.  Stir until sugar dissolves.  Stir in 2 cups whipping cream. Chill in refrigerator for 1 hour.  Add 4 cups diced Skor Candy Bars.  Freeze in 4 or 5 quart Ice cream freezer according to manufacturers directions.  Top with melted Caramel.",0,True
1457,"What supplies are needed to make a 'The Neverending Story' book box?
0.- Wood box        - White acrylic paint        - Gold Sharpie        - Printer        - Cutter        - Glass bubble        - Glue        - Varnish
1.- Wood box        - White acrylic paint        - Gold Sharpie        - Printer        - Cutter        - Soap bubble        - Glue        - Varnish
",0,0,True
1427,"How should I start the assembling process?
0.You should organize the pieces first by assembling number.
1.You should first start with the bigger pieces and then the small ones.
",0. You should organize the pieces first by assembling number.,0,True
826,"how do you stop a stomach from growling?
0.take a shower to soothe the growling.
1.do not allow yourself to get hungry, by eating.
","1. do not allow yourself to get hungry, by eating.",1,True
