Index,Prediction,Answer,Eval,Manual Eval
1678,#3,no. 3,FALSE,TRUE
4221,Jaguar,Jaguar Land Rover,FALSE,TRUE
4580,65th,represented District 65,FALSE,TRUE
267,Lady Antebellum,Charles Kelley,FALSE,FALSE
6324,Architect,Armaments and War Production,FALSE,FALSE
6267,18 minutes,18 minutes,TRUE,TRUE
2542,Judges,Book of Judges,FALSE,TRUE
5053,Winners,winners,TRUE,TRUE
233,"United States v. Paramount Pictures, Inc.",Craig v. Boren,FALSE,FALSE
6865,January,Dec-93,FALSE,FALSE
2859,Wolf Creek,Wolf Creek,TRUE,TRUE
2644,1884,1884,TRUE,TRUE
247,Yes,yes,TRUE,TRUE
6238,MacFarlane,Seth MacFarlane,FALSE,TRUE
5036,FAI Junior Cup,FAI Junior Cup,TRUE,TRUE
6610,Seasiders,"""the Seasiders""",FALSE,TRUE
7201,1970,1970,TRUE,TRUE
4940,Wollongong,"Wollongong, Australia",FALSE,TRUE
1309,Austrian,American,FALSE,FALSE
2584,paranormal,Native American,FALSE,FALSE
4258,Elizabeth Taylor,Dame Elizabeth Rosemond Taylor,FALSE,TRUE
2979,Crested Butte,"Crested Butte, Colorado",FALSE,TRUE
6284,California Polytechnic State University,California Polytechnic State University,TRUE,TRUE
4414,22-May,22-May,TRUE,TRUE
4641,Heard,Amber Laura Heard,FALSE,TRUE
1090,ENnies,EN World web site,FALSE,FALSE
1973,4080,4080,TRUE,TRUE
1738,Wolfgang Becker,Wolfgang Becker,TRUE,TRUE
5891,running back,Larry Alphonso Johnson Jr.,FALSE,FALSE
329,Spring,Spring city,FALSE,TRUE
6472,The Handmaid's Tale,The Handmaid's Tale,TRUE,TRUE
3616,Yeatman-Eiffel,Savin Yeatman-Eiffel,FALSE,TRUE
1204,Rockland,Rockland,TRUE,TRUE
1318,Premier League Darts,2018 Unibet Premier League Darts,FALSE,FALSE
5118,Suining,"In 2002, Suining had a population of 658,798.",FALSE,TRUE
4269,2007,2007 Formula One season,FALSE,TRUE
116,Marvel,Marvel,TRUE,TRUE
3686,Yes,yes,TRUE,TRUE
5019,Collins,Phil Collins,FALSE,TRUE
6424,Hall,John S. Hall,FALSE,TRUE
486,Rock,rock,TRUE,TRUE
4062,27,27 languages,FALSE,TRUE
4879,Judge Doom,Judge Doom,TRUE,TRUE
24,Goalkeeper,World's Best Goalkeeper,FALSE,TRUE
479,O'Brien,Kathleen O'Brien,FALSE,TRUE
287,Haileybury,The Dragon School in Oxford,FALSE,FALSE
2178,YZF-R6,Yamaha 600 class,FALSE,FALSE
4566,American,American,TRUE,TRUE
598,Finding Nemo,Finding Nemo,TRUE,TRUE
546,Ephedrine,Ephedrine,TRUE,TRUE
4372,Suðreyjar,Southern Isles,FALSE,FALSE
5914,Kentucky,Kentucky River,FALSE,TRUE
2581,Panthera leo spelaea,lion,FALSE,FALSE
3427,Yes,yes,TRUE,TRUE
3651,Abigail,Abigail,TRUE,TRUE
3549,Hershey,"Hershey, Pennsylvania",FALSE,TRUE
1559,Red Rock West,"""Red Rock West""",FALSE,TRUE
4661,Adventist World,Adventist World,TRUE,TRUE
7106,Eto'o,Samuel Eto'o Fils,FALSE,TRUE
186,Neveldine and Taylor,Mark Neveldine and Brian Taylor,FALSE,TRUE
1913,Chutzpah,The King of Chutzpah,FALSE,TRUE
7133,Illinois,Illinois,TRUE,TRUE
2807,Rule,rule of three,FALSE,FALSE
432,Delmer Daves,Delmer Lawrence Daves,FALSE,TRUE
5618,Seventeenth,end of the 17th century,FALSE,TRUE
5348,1856,1856,TRUE,TRUE
5005,Middleweight,middleweight,TRUE,TRUE
5834,Documentary,documentary,TRUE,TRUE
4765,Tom Jones,Tom Jones,TRUE,TRUE
2523,Copa,Copa Airlines,FALSE,TRUE
2027,Advantage,reward,FALSE,FALSE
1887,President,president,TRUE,TRUE
4108,Bingham,"Gerald ""Jerry"" Joseph Bingham, Jr.",FALSE,TRUE
3884,1961,9-Mar-61,FALSE,TRUE
4549,Yes,yes,TRUE,TRUE
1001,Hero,Hero,TRUE,TRUE
745,Friends,Friends,TRUE,TRUE
3081,Singer-songwriter,"singer, songwriter",FALSE,TRUE
2762,Representative,U.S. Representative for Colorado 's 6 congressional district,FALSE,TRUE
3932,Animated,3D computer-animated musical fantasy-adventure film,FALSE,TRUE
7404,Norwood,"Norwood, Massachusetts",FALSE,TRUE
5489,Italian,Sergio Leone,FALSE,FALSE
860,Rowan Blanchard,Rowan Blanchard,TRUE,TRUE
3875,Documentary,The Seine Meets Paris,FALSE,FALSE
1918,Station,Manchester Victoria station,FALSE,FALSE
5698,Yes.,yes,FALSE,TRUE
802,Tannenberg,26–30 August 1914,FALSE,FALSE
6349,Lisa,Apple Lisa,FALSE,TRUE
211,Jackson Storm,Jackson Storm,TRUE,TRUE
908,Adorable,Adorable,TRUE,TRUE
656,Dusty Dvoracek,Dusty Dvoracek,TRUE,TRUE
1972,Oldham,"Oldham County, Kentucky",FALSE,TRUE
2030,Farkas,Bertalan Farkas,FALSE,TRUE
5977,Kamehameha I,Kalokuokamaile,FALSE,FALSE
3041,Director,director,TRUE,TRUE
4482,I,NCAA Division I,FALSE,TRUE
1454,Eucritta melanolimnetes,Eucritta melanolimnetes,TRUE,TRUE
5204,Yes,yes,TRUE,TRUE
2022,Haitian,the Haitian Revolution,FALSE,TRUE
1425,caddy,Kramer's caddy Stan,FALSE,TRUE
