Index,Prediction,Answer,Eval,Manual Eval
340,Matt Flynn,Matt Flynn,TRUE,TRUE
2724,N.I.B.,N.I.B.,TRUE,TRUE
1124,"orchids, flowering plants",flowering plants,FALSE,TRUE
3210,Gospel,Gospel Starlighters,FALSE,TRUE
6696,86,86 ft,FALSE,TRUE
6065,Bloomingdale Firehouse,Worcester Cold Storage and Warehouse Co. fire,FALSE,FALSE
3433,Terence Winter,Martin Scorsese,FALSE,FALSE
2232,Lions,Lions for Lambs,FALSE,TRUE
3745,Farmer,Philip José Farmer,FALSE,TRUE
2072,Club,Club,TRUE,TRUE
7390,Wilhelmina,Barbara Bush,FALSE,FALSE
4391,ruler,r grandfather <a hr,FALSE,FALSE
1711,2013,2010 to 2012,FALSE,FALSE
4046,Crespo,Hernán Crespo,FALSE,TRUE
5780,Tom,Tom Ewell,FALSE,TRUE
6913,after,after,TRUE,TRUE
1166,Ernst & Young,Ernst & Young,TRUE,TRUE
5664,Hemingway,The Bad Hemingway Contest,FALSE,TRUE
3079,Genesee,High Falls Brewery,FALSE,FALSE
4904,Ghostbusters,Ghostbusters: Answer the Call,FALSE,TRUE
4827,Jane Mayer,Jane Mayer,TRUE,TRUE
6950,German,best known for translating the work of Erich Maria Remarque,FALSE,FALSE
1716,Chris Weidman,Anderson Silva,FALSE,FALSE
5259,1986,1975,FALSE,FALSE
5749,Lysiloma,Lysiloma,TRUE,TRUE
5712,1944,1944 until his death in 1971,FALSE,FALSE
2524,Gandolfini,James Gandolfini,FALSE,TRUE
4403,Michael Crafter,Michael Crafter,TRUE,TRUE
4409,Zimbabwe,Zimbabwe,TRUE,TRUE
4554,Republican,Republican,TRUE,TRUE
80,Newport,Newport,TRUE,TRUE
5009,Latka,Latka Gravas,FALSE,TRUE
5920,Constance M. Burge,Constance M. Burge,TRUE,TRUE
5781,Switzerland,Switzerland,TRUE,TRUE
4173,ESPN,College Football Scoreboard,FALSE,FALSE
1596,Fresno State,The Pennsylvania State University,FALSE,FALSE
2059,Italian,Italian,TRUE,TRUE
1267,Boston,Boston,TRUE,TRUE
4909,Redford,Robert Redford,FALSE,TRUE
7097,Fran,Fran,TRUE,TRUE
1868,Han Peekel,Betty Cohen,FALSE,FALSE
3920,Kiernan Shipka,Kiernan Brennan,FALSE,FALSE
4475,Mickey,Sarah Kate Silverman,FALSE,FALSE
5886,Donald Duck,Donald Duck,TRUE,TRUE
3347,tale,Gabrielle-Suzanne Barbot de Villeneuve,FALSE,FALSE
6141,Yes,yes,TRUE,TRUE
6452,Documentaries,documentary film,FALSE,TRUE
6741,Patrick,Patrick Swayze,FALSE,TRUE
5458,Crepis,Crepis,TRUE,TRUE
6667,"15,000","15,000 people",FALSE,TRUE
1278,Lobachevsky,Nikolai Ivanovich Lobachevsky,FALSE,TRUE
6291,Yes,no,FALSE,FALSE
6031,highway,Ohio Turnpike,FALSE,FALSE
4102,San Francisco,"Chicago, IL",FALSE,FALSE
6832,Yes,yes,TRUE,TRUE
2813,100 metres,100 metres,TRUE,TRUE
2720,2013,2013,TRUE,TRUE
3811,Doñana,Doñana National Park,FALSE,TRUE
3579,2015,2015,TRUE,TRUE
3943,2017,5-Sep-17,FALSE,TRUE
603,Howard,T. R. M. Howard,FALSE,TRUE
6701,Jack Chick,Jack Chick,TRUE,TRUE
4008,"11,163","11,163",TRUE,TRUE
140,Oxford,Oxford,TRUE,TRUE
4372,Isles,Southern Isles,FALSE,TRUE
615,500th,show's 500th episode,FALSE,TRUE
4889,Venezuelan,Dominican,FALSE,FALSE
2152,2015,2015,TRUE,TRUE
718,Political party,Albanian political party in Montenegro,FALSE,FALSE
5894,film,45th Infantry Division,FALSE,FALSE
2612,Rome,"Stadio Olimpico in Rome, Italy",FALSE,FALSE
386,1961,1961,TRUE,TRUE
3887,dog,dog,TRUE,TRUE
5557,Sean S. Cunningham,Harry Booth,FALSE,FALSE
1195,rebellion,Easter Rising of 1916,FALSE,FALSE
1152,Field Marshal,1736,FALSE,FALSE
5257,Detroit,Detroit,TRUE,TRUE
3826,second,the second,FALSE,TRUE
6242,American Scientist,American Scientist,TRUE,TRUE
7069,Taylor Swift,Big Machine Records,FALSE,FALSE
7379,Danny DeVito,"Daniel Michael DeVito, Jr.",FALSE,TRUE
2637,Prada,Prada,TRUE,TRUE
658,Beauty and the Beast,Beauty and the Beast,TRUE,TRUE
5440,Vladimir Menshov,Vladimir Menshov,TRUE,TRUE
3716,Jack White,Jack White,TRUE,TRUE
632,Yankees,New York Yankees,FALSE,TRUE
2302,1975,1967,FALSE,FALSE
4484,Missouri,Faurot Field,FALSE,FALSE
2660,New York,Prudential Center in Newark,FALSE,FALSE
3394,Merv,Mary,FALSE,FALSE
1839,psilocybin,psilocin,FALSE,FALSE
6440,Fantasy,motion picture producer,FALSE,FALSE
866,singer,"professional wrestler, actor, and hip hop musician",FALSE,FALSE
3367,Americans,yes,FALSE,FALSE
4638,Roc-A-Fella Records and Priority Records,Roc-A-Fella Records and Priority Records,TRUE,TRUE
5352,Texas Tech Red Raiders,Texas Tech Red Raiders baseball,FALSE,TRUE
1019,Yes,no,FALSE,FALSE
4342,1978,1978,TRUE,TRUE
4036,Eunuch,Mulberry,FALSE,FALSE
4223,Heineken,over 170,FALSE,FALSE
