Index,Question,Prediction,Answer,Eval,Manual Eval
7676,What are a biological processes that Gastric triacylglycerol lipase are involved in ?,Digestion,"lipid metabolic process, oxidation-reduction process",FALSE,TRUE
27545,Which occupations have Jacob Jervell as his/her 's career ?,Theologian,"translator, theologian, writer",FALSE,TRUE
21922,Where was Quills filmed ?,Australia,London,FALSE,FALSE
23466,What encodes sensory histidine kinase in two-component regulatory system with citB    ECIAI39_0595 ?,Gene,sensory histidine kinase in two-component regulatory system with citB    ECIAI39_0595,FALSE,TRUE
21576,Which sport was Gianluca Bacchiocchi a part of ?,Cycling,association football,FALSE,FALSE
15996,Where did Georg Heinrich Pfeiffer work ?,Botanist,"Leipzig, Braunschweig",FALSE,FALSE
27477,Which person created the production designs of Gulliver's Travels ?,Animator,Gavin Bocquet,FALSE,FALSE
23840,Which name is associated with Margaret Miller ?,unknown,Miller,FALSE,FALSE
24597,Where did the demise of Bruno Müller-Linow occur ?,Schwerin,Hochscheid,FALSE,FALSE
17019,Which disease was the cause of death of Nan Chauncy ?,Cancer,cancer,TRUE,TRUE
15239,Which biological process is Calmegin involved in ?,Spermatogenesis,protein folding,FALSE,FALSE
13804,What is the gene that encodes proteasome core particle subunit beta 2 YOR157C ?,Pre2,proteasome core particle subunit beta 2 YOR157C,FALSE,FALSE
3051,Which french administrative division was Michel Arnaudet born in ?,Gironde,Lourdes,FALSE,FALSE
14128,Which language does Rachel Adato speak in ?,Hebrew,English,FALSE,FALSE
4288,Which parties do Costas Lapavitsas belong to ?,Economist,"SYRIZA, Popular Unity (Greece)",FALSE,FALSE
8068,"Who wrote the script for Amour, sexe et mobylette ?",Documentarists,"Christian Lelong, Maria Silvia Bazzoli",FALSE,FALSE
1061,What was the position for which Georges Monnier was appointed ?,Director,member of the French National Assembly,FALSE,FALSE
18818,Which occupation is the profession of Rodolfo Soares ?,Architect.,association football player,FALSE,FALSE
11166,Which occupations have Jubal Early as his/her 's career ?,Bounty-hunter,"politician, military personnel",FALSE,FALSE
7002,Which sex does Richard Grindall possess ?,Unknown,male,FALSE,FALSE
631,Who share the border with Boncourt-sur-Meuse ?,France,"Apremont-la-Forêt, Lérouville, Vignot",FALSE,TRUE
16632,What religion is Franz Jalics affiliated to ?,Catholicism,Society of Jesus,FALSE,FALSE
16592,Where is Calcium/calmodulin-dependent protein kinase kinase 2 found ?,Cytosol,Homo sapiens,FALSE,FALSE
4114,What are the work locations of Georg von Below ?,Historian,"Freiburg im Breisgau, Tübingen",FALSE,FALSE
14068,What manner did David McNaught die ?,Unknown,natural causes,FALSE,FALSE
5965,What is the firstname of Chris Fry ?,Chris,Chris,TRUE,TRUE
16000,Which business enterprise is the workplace of Kamilla Bech Holten ?,"Sorry, I cannot provide current employment information for specific individuals unless it is widely known and publicly available information about a prominent person in society.",TV 2,FALSE,FALSE
7392,Which administrative territory was Kofi Mensah born at ?,"I'm sorry, but without specific information about who Kofi Mensah is, I cannot provide an answer. There could be many people with the name Kofi Mensah from different administrative territories. If you can provide additional context or details about this person, I may be able to assist you better.",Koforidua,FALSE,FALSE
2891,Where did Arthur von Wallpach zu Schwanenfeld die ?,battle,Klausen,FALSE,FALSE
5036,Which cellular components are components of Serine/threonine-protein kinase PAK 1 ?,Enzyme,"plasma membrane, cell-cell junction, presynapse",FALSE,FALSE
22000,Which school is William Williams an alumni of ?,unknown,Harvard Law School,FALSE,FALSE
22350,Which organization was Pierre Eugene du Simitiere a member of ?,Academician,American Philosophical Society,FALSE,FALSE
21522,Which administrative territory was Diego Ficarra born at ?,Sicily,Vevey,FALSE,FALSE
12786,Who sponsored the recoding of Rose Maddox ?,Collector,"Columbia Records, Four Star Records",FALSE,FALSE
5409,Which sport was Luis Pedro Molina a part of ?,Soccer,association football,FALSE,TRUE
19686,Where did Pedro Giachino expire ?,Hospital,King Edward VII Memorial Hospital,FALSE,TRUE
9699,Who was George Crumb a pupil of ?,composer,Ricardo Zohn-Muldoon,FALSE,FALSE
5511,Which sport was Dani Olmo a part of ?,Football,association football,FALSE,TRUE
15120,Which occupations are the professions of Luise Begas-Parmentier ?,Translator,"painter, salon-holder",FALSE,FALSE
10590,What is the sex of Franz Fürst ?,unknown,male,FALSE,FALSE
7408,What is the sex of Albert Kayser ?,Unknown.,male,FALSE,FALSE
21744,Which administrative territory is the place of death of Martin Harlinghausen ?,Trieste,Gütersloh,FALSE,FALSE
15730,Which female person has a child named Camille Puget ?,Claude François,Aricie Canaple,FALSE,FALSE
27444,Which military branch contains Anthony L. Krotiak as its part ?,Army,United States Army,FALSE,TRUE
451,Which administrative territory is the place of birth of Joan Golobart ?,Terrassa,Barcelona,FALSE,FALSE
12318,Which national sports team is Kim Ho-kon a member of ?,South Korea,South Korea national football team,FALSE,TRUE
24716,Which administrative territory does Frank Darabont belong to ?,American,United States of America,FALSE,TRUE
5913,Who are the children of Conrad Schlumberger ?,Descendants,"Dominique de Menil, Anne Gruner Schlumberger",FALSE,FALSE
17068,What is the sex of Fred W. Murphy ?,Unknown.,male,FALSE,FALSE
1132,What are the platforms for which Bépo disposal were developed ?,keyboards,"Microsoft Windows, GNU/Linux, Berkeley Software Distribution",FALSE,FALSE
9552,Where is elongation factor G    aq_001 found ?,Ribosome,Aquifex aeolicus VF5,FALSE,FALSE
25344,Which information was used originally for the creation of Her Official Fathers ?,database,n/a (silent film),FALSE,FALSE
22449,Which person is the brother of Sven Zetterström ?,Relative,Erik Zetterström,FALSE,FALSE
7746,Which administrative territory is known as the capital of Frances Baard District Municipality ?,Kimberley,Kimberley,TRUE,TRUE
19894,What is the race of Mike Bakić ?,Unknown,Serbs,FALSE,FALSE
22015,Which sport did Mikhail Kupriyanov participate in ?,Biathlon,association football,FALSE,FALSE
26241,Which administrative territory is the place of death of Hans Scherfig ?,Copenhagen,Hillerød,FALSE,FALSE
23513,Which award was received by Leon Cooper ?,Nobel,Comstock Prize in Physics,FALSE,TRUE
9578,Which french administrative division is the place of birth of Joëlle Wintrebert ?,Department,Toulon,FALSE,FALSE
13806,Who is married to Guo Jingjing ?,Huang Xiaoming,Kenneth Fok,FALSE,FALSE
20406,Which political territory is the origin of Three Nuts for Cinderella ?,Czechoslovakia,Germany,FALSE,FALSE
18561,Which person was the father of Hans von Wolzogen ?,Aristocrat,Alfred von Wolzogen,FALSE,FALSE
