Index,Question,Prediction,Eval,Solution
405,3 8 8 9,8 * (3 + 8 - 9) = 24,False,3 * 8 * ( 9 - 8 ) = 24
726,1 2 9 13,(13 - 1) * (9 - 2) = 24,False,1 * 13 + 2 + 9 = 24
666,5 8 11 13,(13 - 11) * 5 * 8 = 24,False,( 11 - 13 + 5 ) * 8 = 24
630,2 7 8 11,(11 + 2) * (8 - 7) = 24,False,11 - 2 + 7 + 8 = 24
832,3 4 6 10,(10 - 3) * (6 / 2) = 24,False,10 + 3 * 6 - 4 = 24
997,2 4 9 12,(9 - (2 / 4)) * 12 = 24,False,( 12 + 4 * 9 ) / 2 = 24
1131,3 4 4 10,(10 - (3 - 4/4)) * 4 = 24,False,( 10 - 3 ) * 4 - 4 = 24
1222,8 10 12 12,(12 / (12 - 10)) * 8 = 24,False,10 * 12 - 12 * 8 = 24
1238,3 3 7 8,8 * (7 - (3 / 3)) = 24,False,3 * 3 + 7 + 8 = 24
829,4 5 10 13,(13 - 4) * (10 - 5) = 24,False,10 + 13 - 4 + 5 = 24
336,1 5 6 6,(6/1 - (6-5)) * 6 = 24,False,1 * 5 * 6 - 6 = 24
19,1 1 2 6,6 / (1 - 1/2) = 24,False,( 1 + 1 + 2 ) * 6 = 24
1040,4 6 6 12,(6 / (6 - 4)) * 12 = 24,False,12 - ( 4 - 6 ) * 6 = 24
1125,2 4 9 10,(9 - (10 - 4 / 2)) * 2 = 24,False,10 + 2 * 9 - 4 = 24
205,10 13 13 13,(13 / ((13 / 13) + 10)) = 24,False,10 + 13 + 13 / 13 = 24
774,1 2 4 5,(5 * 2) * (4 - 1) = 24,False,( 2 - 1 + 5 ) * 4 = 24
545,4 4 8 8,(4 * 8) + (4 * 8) / 8 = 24,False,4 + 4 + 8 + 8 = 24
690,6 8 10 13,(8 * 10) - 13 - 6 = 24,False,( 10 - 13 + 6 ) * 8 = 24
1247,3 4 5 13,(13 - 5) * (4 - 3) = 24,False,13 + 3 * 5 - 4 = 24
1194,6 6 6 10,(6 * 6) - (10 + 6) = 24,False,10 * 6 - 6 * 6 = 24
198,3 3 4 8,8 * (4 - 3) * 3 = 24,True,( 3 + 3 ) * ( 8 - 4 ) = 24
227,7 7 12 13,(7 / 7) + 12 + 13 = 24,False,12 + 13 - 7 / 7 = 24
925,7 9 9 13,(9 / (13 - (9 / 7))) = 24,False,13 - 7 + 9 + 9 = 24
603,3 4 12 13,(4 * 12) / (13 - 3) = 24,False,12 + 13 + 3 - 4 = 24
