Index,Prediction,Answer,Eval,Manual Eval
1081,Neil Diamond,"['Neil Diamond', 'Alan Bergman', 'Marilyn Bergman']",TRUE,TRUE
4921,Iraq,"['Iraq', 'valleys of the Tigris', 'Euphrates']",TRUE,TRUE
159,"homogeneous, heterogeneous","['homogeneous', 'heterogeneous']",FALSE,TRUE
3407,Reba,"['Reba McEntire', 'Linda Davis']",FALSE,TRUE
523,Actors,"['Kelly Kruger', 'Ashley Bashioum', 'Rachel Kimsey', 'Clementine Ford']",FALSE,FALSE
4661,Slime,"['Double Dare', ""You Ca n't Do That on Television"", ""Kids ' Choice Awards"", 'Wild & Crazy Kids', 'Figure It Out']",FALSE,FALSE
2503,"California, Florida, Hawaii","['Florida', 'Hawaii', 'California']",FALSE,TRUE
3772,1963,"['from 1963 until 1988', 'revived in 2002']",FALSE,FALSE
3064,Bree Williamson,"['Jessica Azenberg', 'Janelle and Tamara DeMent', 'Alex and Brittany Smith', 'Eliza Clark', 'Erin Torpey', 'Bree Williamson']",TRUE,TRUE
1794,Billy Preston,"['Billy Preston', 'Bruce Fisher']",TRUE,TRUE
206,Elaine Paige,"['Elaine Paige', 'Barbara Dickson']",TRUE,TRUE
5038,Jay Leno,"['Steve Allen', 'Jack Paar', 'Johnny Carson', 'Jay Leno', ""Conan O'Brien""]",TRUE,TRUE
1307,Topol,"['Topol', 'Norma Crane', 'Leonard Frey', 'Molly Picon', 'Paul Mann']",TRUE,TRUE
2620,"glomerulus, Bowman's capsule","['glomerulus', ""Bowman 's capsule""]",FALSE,TRUE
4508,Spain,"['Spain', 'Portugal']",TRUE,TRUE
74,Johannesburg Stock Exchange,"['Casablanca Stock Exchange', 'Johannesburg Stock Exchange', 'EGX', 'Nigerian Stock Exchange', 'Namibian Stock Exchange', 'Zimbabwe Stock Exchange', '4 African Exchange']",TRUE,TRUE
3372,2014,"['February 7 , 2014', 'March 7 , 2014']",FALSE,TRUE
485,solute,"['salt', 'alcohol']",FALSE,FALSE
642,Feminine,"['nobility', 'adornment', 'first daughter']",FALSE,FALSE
3044,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell and Kodi Smit-McPhee","['Andy Serkis', 'Jason Clarke', 'Gary Oldman', 'Keri Russell', 'Toby Kebbell', 'Kodi Smit - McPhee']",FALSE,TRUE
3722,mechanical,"['Sound', 'mechanical waves', 'heat energy']",FALSE,FALSE
1815,Scottie,"['several female romantic interests', ""Dana `` Scottie '' Scott""]",FALSE,TRUE
1914,Jennifer Wayne,"['Eric Paslay', 'Jennifer Wayne']",TRUE,TRUE
3618,Marx,"['Karl Marx', 'Friedrich Engels']",FALSE,TRUE
2023,Custom,"[""expectant mother is `` showered '' with gifts"", ""`` first showing '' of the new baby to the wider family and circle of friends""]",FALSE,FALSE
4823,Spafford,"['Horatio Spafford', 'Philip Bliss']",FALSE,TRUE
4929,Challenge,"['preserve the power , influence and material wealth enjoyed by the Catholic Church', 'present a theological and material challenge to Reformation']",FALSE,FALSE
1798,Murray Head,"['Murray Head ( verses )', 'Anders Glenmark ( in the chorus )']",FALSE,TRUE
4892,irrigation,"['ability to control flooding better', 'provide increased water storage for irrigation', 'generate hydroelectricity']",FALSE,TRUE
755,Randazzo,"['Teddy Randazzo', 'Bobby Weinstein']",FALSE,TRUE
