Index,Question,Prediction,Eval
1344,2 3 8 13,(13 - 8) * (3 - 2) = 24,False
1027,1 5 7 9,(5 * 9) - 7 - 1 = 24,False
871,3 3 7 9,(9 - 3) * (7 - 3) = 24,True
431,1 3 10 12,(12 / (10 - 3)) * 1 = 24,False
239,4 4 5 6,(5 - 4) * (4 + 6) = 24,False
815,3 3 6 11,(11 - 3) * (6 / 3) = 24,False
233,1 4 4 5,(5 * 4) - (4 / 1) = 24,False
119,2 8 9 9,(8 - 2) * (9 - 9) = 24,False
966,3 3 4 11,(11 - 4) * 3 - 3 = 24,False
3,1 1 1 8,(8 - 1) * (1 + 1),False
1125,2 4 9 10,(9 - 4) * 2 + 10 = 24,False
1134,1 3 5 6,(5 * 6) - (3 - 1) = 24,False
1070,4 6 9 13,(13 - 9) * (6 / 4) = 24,False
643,1 5 9 10,(10 - 5) * (9 - 1),False
564,1 4 10 11,(11 - 4) * 10 / 1,False
79,1 8 9 12,(9 - 1) * (12 - 8) = 24,False
1002,2 4 6 8,(8 - 6) * (4 + 2),False
587,3 6 6 9,(9 - 6) * (6 / 3) = 24,False
5,1 1 2 12,(12 / (1 + 1)) * 2,False
1345,7 8 10 11,(10 * 11) - (7 + 8) = 24,False
509,5 5 10 11,(11 - 5) * (10 / 5) = 24,False
698,2 3 3 7,(7 - 3) * (3 + 2),False
326,6 7 12 13,(13 - 7) * (12 / 6) = 24,False
327,1 2 5 5,(5 * 5) - 2 - 1 = 24,False
120,6 6 12 12,(12 / (12 / 6)) * 6 = 24,False
875,5 6 9 12,(12 / (9 - 6)) * 5 = 24,False
950,1 2 2 9,(9 - 2) * 2 + 1,False
985,5 9 12 12,(12 / (12 - 9)) * 5 = 24,False
1096,4 4 5 12,(12 - 4) * (5 - 4) = 24,False
409,4 4 4 12,(4 * 4) + (4 - 12) = 24,False
429,8 10 11 11,(11 - 10) * 11 - 8 = 24,False
677,3 4 5 10,(10 - 5) * (4 - 3) = 24,False
984,2 6 7 11,(11 - 7) * 6 / 2,False
383,8 9 12 13,(13 - 9) * 12 / 8 = 24,False
1268,1 7 12 13,(13 - 7) * (12 - 1) = 24,False
1318,4 7 11 13,(13 - 11) * (7 - 4) = 24,False
477,1 6 8 13,(13 - 6) * (8 / 1),False
1326,6 11 12 12,(12 / (12 - 11)) * 6 = 24,False
1230,1 3 8 11,(8 * 3) - 11 + 1 = 24,False
1262,8 9 11 11,(11 - 8) * (11 - 9) = 24,False
649,2 4 8 12,(12 / (8 - 4)) * 2 = 24,False
1122,3 3 9 11,(11 - 3) * (9 - 3) = 24,False
390,3 6 6 12,(12 / (6 - 3)) * 6,True
955,7 8 8 12,(7 - 8/8) * 12,False
1208,8 10 12 13,(10 - 8) * 13 - 12 = 24,False
266,4 4 4 4,(4 * 4) + (4 * 4),False
1164,5 5 5 12,(5 + 5) * (5 - 12) = 24,False
1102,2 3 5 10,(10 * 2) - (5 + 3) = 24,False
967,2 5 7 7,(7 -(5-2)) * 7,False
1217,2 7 10 12,(12 * 2) - (10 + 7) = 24,False
742,2 2 8 10,(10 - 8) * 2 * 2 = 24,False
